order_id,SKU,qty,x,y,ABC
124358,I1KDJ0,1,15,6,C
124358,I1KDJ0,2,15,6,C
124358,JEGRCL,1,14,5,C
124357,2T1DJM,1,15,6,C
124357,2T1DJM,1,15,6,C
124357,2T1DJM,2,14,5,C
124357,2T1DJM,1,14,5,C
124357,KTDZY0,1,15,5,C
124357,I1KDJ0,1,15,5,C
124357,I1KDJ0,1,14,5,C
124357,I1KDJ0,1,15,5,C
124357,JEGRCL,1,14,6,C
124357,JEGRCL,1,14,6,C
124357,JEGRCL,1,14,6,C
124356,6M2FJM,1,14,6,C
124355,SMMRK3,2,15,5,C
124354,F7LULH,1,15,6,C
124353,JEGRCL,1,14,6,C
124353,4SD17H,1,14,6,C
124352,CD1NU9,1,14,6,C
124352,UHYJ3A,1,15,5,C
124352,UHYJ3A,1,14,6,C
124352,UHYJ3A,1,15,5,C
124352,UHYJ3A,1,14,6,C
124351,Q50W5L,1,14,6,C
124350,TBCCF7,1,14,6,C
124349,NM6C73,1,14,6,C
124348,7BU1V7,4,14,5,C
124348,7BU1V7,4,15,5,C
124348,8E9F1P,2,15,6,C
124348,XUZJ74,2,15,6,C
124348,2OAVPY,2,15,6,C
124348,SMMRK3,3,14,6,C
124348,7BU1V7,2,14,5,C
124348,XUZJ74,4,15,5,C
124348,XUZJ74,4,15,6,C
124348,2OAVPY,3,15,5,C
124348,2OAVPY,3,14,6,C
124348,SMMRK3,4,15,5,C
124348,SMMRK3,4,14,6,C
124348,7BU1V7,5,15,5,C
124348,8E9F1P,2,14,6,C
124348,XUZJ74,6,15,6,C
124348,2OAVPY,4,14,6,C
124348,SMMRK3,6,14,6,C
124348,SMMRK3,1,15,6,C
124348,7BU1V7,4,14,6,C
124348,7BU1V7,4,14,5,C
124348,8E9F1P,2,15,6,C
124348,XUZJ74,3,14,6,C
124348,XUZJ74,3,15,6,C
124348,2OAVPY,4,15,6,C
124348,SMMRK3,4,15,5,C
124348,7BU1V7,2,14,5,C
124348,7BU1V7,2,15,6,C
124348,XUZJ74,2,14,6,C
124348,2OAVPY,3,15,6,C
124348,2OAVPY,2,14,6,C
124348,SMMRK3,6,15,6,C
124348,SMMRK3,4,15,5,C
124348,SMMRK3,2,14,6,C
124348,2T1DJM,1,14,5,C
124348,8N10W9,5,14,6,C
124348,2T1DJM,2,15,5,C
124348,KTDZY0,1,14,6,C
124348,AKP0A7,4,14,5,C
124348,8D9SAW,4,14,6,C
124348,V7JUQL,3,14,6,C
124348,LXJQVG,5,15,5,C
124348,8N10W9,9,14,5,C
124348,2T1DJM,2,15,5,C
124348,W25EZN,4,14,5,C
124348,KTDZY0,2,15,5,C
124348,I1KDJ0,2,14,5,C
124348,WRRW1W,3,14,6,C
124348,O9YFO8,2,15,6,C
124348,2T1DJM,3,14,5,C
124348,KTDZY0,5,14,5,C
124348,AKP0A7,3,15,6,C
124348,ZGYCSW,1,14,5,C
124348,I1KDJ0,4,15,5,C
124348,WRRW1W,6,15,6,C
124348,O9YFO8,2,14,5,C
124348,AKP0A7,3,15,5,C
124348,8D9SAW,6,14,5,C
124348,8D9SAW,5,14,5,C
124348,0LNUOV,7,15,6,C
124348,0LNUOV,3,14,6,C
124348,KTDZY0,2,14,5,C
124348,AKP0A7,7,15,5,C
124348,0LNUOV,2,14,5,C
124348,LXJQVG,4,15,5,C
124348,ZGYCSW,2,15,5,C
124348,I1KDJ0,4,14,5,C
124348,O9YFO8,3,15,5,C
124348,8N10W9,7,15,5,C
124348,2T1DJM,6,14,6,C
124348,W25EZN,4,14,6,C
124348,Z8KPP8,2,14,6,C
124348,WRRW1W,5,14,5,C
124348,8N10W9,3,14,5,C
124348,8N10W9,9,14,5,C
124348,J3FI7N,4,15,6,C
124348,5HQR89,3,14,6,C
124348,W25EZN,5,15,5,C
124348,2T1DJM,5,14,6,C
124348,KTDZY0,1,14,5,C
124348,ZGYCSW,2,15,6,C
124348,I1KDJ0,4,15,5,C
124348,WRRW1W,7,15,6,C
124348,O9YFO8,5,14,5,C
124348,KTDZY0,4,15,6,C
124348,AKP0A7,8,14,6,C
124348,8D9SAW,1,15,5,C
124348,0LNUOV,5,14,5,C
124348,LXJQVG,6,15,6,C
124348,AKP0A7,7,15,5,C
124348,8D9SAW,5,14,5,C
124348,8D9SAW,6,15,5,C
124348,0LNUOV,6,15,6,C
124348,2T1DJM,3,14,6,C
124348,W25EZN,1,14,6,C
124348,KTDZY0,5,15,6,C
124348,AKP0A7,1,14,5,C
124348,ZGYCSW,2,14,5,C
124348,I1KDJ0,2,15,6,C
124348,WRRW1W,7,14,6,C
124348,O9YFO8,3,14,6,C
124348,8N10W9,9,15,5,C
124348,8N10W9,9,15,5,C
124348,5HQR89,3,14,5,C
124348,W25EZN,3,15,6,C
124348,8N10W9,1,15,5,C
124348,J3FI7N,3,14,5,C
124348,2T1DJM,3,14,5,C
124348,5HQR89,2,14,5,C
124348,W25EZN,4,14,6,C
124348,I1KDJ0,2,15,6,C
124348,WRRW1W,5,14,5,C
124348,O9YFO8,4,14,5,C
124348,KTDZY0,6,15,5,C
124348,AKP0A7,5,15,6,C
124348,8D9SAW,3,14,6,C
124348,0LNUOV,5,15,6,C
124348,I1KDJ0,3,14,6,C
124348,UNPPMJ,2,15,6,C
124348,2T1DJM,1,15,5,C
124348,KTDZY0,3,14,5,C
124348,AKP0A7,5,15,6,C
124348,8D9SAW,3,15,5,C
124348,0LNUOV,2,15,6,C
124348,I1KDJ0,2,15,6,C
124348,WRRW1W,3,15,5,C
124348,UNPPMJ,2,14,5,C
124348,O9YFO8,3,14,5,C
124348,8N10W9,5,14,6,C
124348,8N10W9,3,14,5,C
124348,2T1DJM,2,15,5,C
124348,2T1DJM,2,15,5,C
124348,W25EZN,3,14,6,C
124348,W25EZN,2,15,6,C
124348,WRRW1W,4,14,5,C
124348,O9YFO8,3,14,5,C
124348,KTDZY0,2,14,6,C
124348,AKP0A7,3,14,5,C
124348,8D9SAW,2,14,5,C
124348,8D9SAW,3,15,5,C
124348,V7JUQL,2,15,5,C
124348,V7JUQL,2,15,5,C
124348,ZGYCSW,2,14,5,C
124348,I1KDJ0,2,14,5,C
124348,UNPPMJ,2,14,5,C
124348,UNPPMJ,3,15,5,C
124348,O9YFO8,1,15,5,C
124348,UNPPMJ,2,15,6,C
124347,U95NWB,5,15,5,C
124347,U95NWB,3,14,5,C
124347,AX7BJ8,1,15,5,C
124346,J3FI7N,1,14,6,C
124346,I1KDJ0,2,14,6,C
124346,WRRW1W,1,15,5,C
124345,W25EZN,1,14,6,C
124345,W25EZN,1,14,5,C
124345,W25EZN,1,15,6,C
124345,KTDZY0,1,14,5,C
124344,B24J86,1,15,5,C
124343,WRRW1W,5,15,5,C
124342,56TC1Z,2,14,6,C
124342,56TC1Z,1,14,5,C
124342,56TC1Z,1,14,5,C
124342,56TC1Z,1,15,6,C
124342,56TC1Z,1,14,6,C
124342,56TC1Z,1,14,5,C
124342,56TC1Z,1,15,6,C
124342,56TC1Z,1,15,5,C
124341,HA0BOB,1,14,5,C
124340,HXQR4L,1,15,5,C
124339,JEGRCL,1,14,6,C
124338,9S4AF8,1,14,5,C
124337,9S4AF8,1,15,6,C
124336,9S4AF8,1,14,6,C
124335,CD1NU9,1,14,5,C
124335,NM6C73,1,14,5,C
124334,8N10W9,1,15,5,C
124334,8N10W9,1,15,6,C
124334,8N10W9,1,14,5,C
124334,2T1DJM,1,14,6,C
124334,2T1DJM,2,15,6,C
124334,2T1DJM,1,15,5,C
124334,2T1DJM,1,15,6,C
124334,2T1DJM,1,14,6,C
124334,CD1NU9,1,14,5,C
124334,32ZKOX,1,14,5,C
124334,32ZKOX,1,14,5,C
124334,WGHG3L,1,15,6,C
124334,Z8KPP8,1,14,5,C
124333,A7MDBC,1,15,5,C
124332,8E9F1P,1,15,5,C
124331,32ZKOX,1,15,5,C
124330,8E9F1P,1,14,6,C
124329,SMMRK3,1,15,6,C
124329,SMMRK3,1,15,5,C
124328,NJVZEL,1,14,5,C
124327,UHYJ3A,1,15,6,C
124326,I1KDJ0,2,14,6,C
124326,W518XY,1,15,6,C
124326,HI2X6U,1,15,6,C
124326,HI2X6U,1,15,6,C
124326,HI2X6U,5,14,6,C
124325,ZX6MUV,1,14,6,C
124324,SMMRK3,2,14,6,C
124324,SMMRK3,1,14,6,C
124324,8N10W9,1,15,5,C
124324,KTDZY0,1,15,5,C
124323,56TC1Z,1,15,5,C
124323,UHYJ3A,1,14,5,C
124323,UHYJ3A,1,14,5,C
124323,AHR20O,1,15,6,C
124322,SMMRK3,1,15,6,C
124322,SMMRK3,1,14,6,C
124322,RAUDQ6,1,14,5,C
124322,RAUDQ6,1,15,5,C
124322,2T1DJM,1,15,6,C
124322,Q50W5L,1,14,5,C
124322,Q50W5L,1,14,6,C
124322,4SD17H,1,14,6,C
124322,TAHFOD,1,14,6,C
124321,5P2MVG,1,14,6,C
124321,AB9XBU,2,15,5,C
124320,XUZJ74,3,14,6,C
124320,2OAVPY,2,14,5,C
124320,SMMRK3,2,14,6,C
124320,SMMRK3,1,15,6,C
124320,XUZJ74,1,15,5,C
124320,XUZJ74,3,14,5,C
124320,XUZJ74,2,14,5,C
124320,XUZJ74,1,15,5,C
124320,SMMRK3,2,14,6,C
124320,SMMRK3,1,15,5,C
124320,8N10W9,1,15,6,C
124320,2T1DJM,3,14,6,C
124320,AKP0A7,1,14,5,C
124320,AKP0A7,3,15,6,C
124320,0LNUOV,1,14,5,C
124320,0LNUOV,3,15,5,C
124320,I1KDJ0,2,14,6,C
124320,8N10W9,2,14,6,C
124320,W25EZN,3,14,5,C
124320,KTDZY0,2,15,6,C
124320,KTDZY0,4,14,6,C
124320,KTDZY0,1,15,5,C
124320,AKP0A7,5,15,5,C
124320,KZ5VR3,2,15,6,C
124320,0LNUOV,1,14,6,C
124320,5MNTT7,3,14,6,C
124320,X31OGS,1,14,6,C
124320,DSQXYR,12,15,6,C
124320,DSQXYR,12,15,6,C
124320,VHQ356,12,15,5,C
124320,VHQ356,12,15,6,C
124320,8N10W9,2,15,6,C
124320,8N10W9,1,14,6,C
124320,2T1DJM,2,15,5,C
124320,W25EZN,3,14,6,C
124320,W25EZN,1,14,6,C
124320,KTDZY0,1,14,5,C
124320,KTDZY0,1,15,5,C
