order_id,SKU,qty,x,y
124348,AKP0A7,7,,
124348,0LNUOV,2,,
124348,LXJQVG,4,,
124348,ZGYCSW,2,,
124348,I1KDJ0,4,,
124348,O9YFO8,3,,
124348,8N10W9,7,,
124348,2T1DJM,6,,
124348,W25EZN,4,,
124348,Z8KPP8,2,,
124348,WRRW1W,5,,
124348,8N10W9,3,,
124348,8N10W9,9,,
124348,J3FI7N,4,,
124348,5HQR89,3,,
124348,W25EZN,5,,
124348,2T1DJM,5,,
124348,KTDZY0,1,,
124348,ZGYCSW,2,,
124348,I1KDJ0,4,,
124348,WRRW1W,7,,
124348,O9YFO8,5,,
124348,KTDZY0,4,,
124348,AKP0A7,8,,
124348,8D9SAW,1,,
124348,0LNUOV,5,,
124348,LXJQVG,6,,
124348,AKP0A7,7,,
124348,8D9SAW,5,,
124348,8D9SAW,6,,
124348,0LNUOV,6,,
124348,2T1DJM,3,,
124348,W25EZN,1,,
124348,KTDZY0,5,,
124348,AKP0A7,1,,
124348,ZGYCSW,2,,
124348,I1KDJ0,2,,
124348,WRRW1W,7,,
124348,O9YFO8,3,,
124348,8N10W9,9,,
124348,8N10W9,9,,
124348,5HQR89,3,,
124348,W25EZN,3,,
124348,8N10W9,1,,
124348,J3FI7N,3,,
124348,2T1DJM,3,,
124348,5HQR89,2,,
124348,W25EZN,4,,
124348,I1KDJ0,2,,
124348,WRRW1W,5,,
124348,O9YFO8,4,,
124348,KTDZY0,6,,
124348,AKP0A7,5,,
124348,8D9SAW,3,,
124348,0LNUOV,5,,
124348,I1KDJ0,3,,
124348,UNPPMJ,2,,
124348,2T1DJM,1,,
124348,KTDZY0,3,,
124348,AKP0A7,5,,
124348,8D9SAW,3,,
124348,0LNUOV,2,,
124348,I1KDJ0,2,,
124348,WRRW1W,3,,
124348,UNPPMJ,2,,
124348,O9YFO8,3,,
124348,8N10W9,5,,
124348,8N10W9,3,,
124348,2T1DJM,2,,
124348,2T1DJM,2,,
124348,W25EZN,3,,
124348,W25EZN,2,,
124348,WRRW1W,4,,
124348,O9YFO8,3,,
124348,KTDZY0,2,,
124348,AKP0A7,3,,
124348,8D9SAW,2,,
124348,8D9SAW,3,,
124348,V7JUQL,2,,
124348,V7JUQL,2,,
124348,ZGYCSW,2,,
124348,I1KDJ0,2,,
124348,UNPPMJ,2,,
124348,UNPPMJ,3,,
124348,O9YFO8,1,,
124348,UNPPMJ,2,,
124347,U95NWB,5,,
124347,U95NWB,3,,
124347,AX7BJ8,1,,
124346,J3FI7N,1,,
124346,I1KDJ0,2,,
124346,WRRW1W,1,,
124345,W25EZN,1,,
124345,W25EZN,1,,
124345,W25EZN,1,,
124345,KTDZY0,1,,
124344,B24J86,1,,
124343,WRRW1W,5,,
124342,56TC1Z,2,,
124342,56TC1Z,1,,
124342,56TC1Z,1,,
124342,56TC1Z,1,,
124342,56TC1Z,1,,
124342,56TC1Z,1,,
124342,56TC1Z,1,,
124342,56TC1Z,1,,
124341,HA0BOB,1,,
124340,HXQR4L,1,,
124339,JEGRCL,1,,
124338,9S4AF8,1,,
124337,9S4AF8,1,,
124336,9S4AF8,1,,
124335,CD1NU9,1,,
124335,NM6C73,1,,
124334,8N10W9,1,,
124334,8N10W9,1,,
124334,8N10W9,1,,
124334,2T1DJM,1,,
124334,2T1DJM,2,,
124334,2T1DJM,1,,
124334,2T1DJM,1,,
124334,2T1DJM,1,,
124334,CD1NU9,1,,
124334,32ZKOX,1,,
124334,32ZKOX,1,,
124334,WGHG3L,1,,
124334,Z8KPP8,1,,
124333,A7MDBC,1,,
124332,8E9F1P,1,,
124331,32ZKOX,1,,
124330,8E9F1P,1,,
124329,SMMRK3,1,,
124329,SMMRK3,1,,
124328,NJVZEL,1,,
124327,UHYJ3A,1,,
124326,I1KDJ0,2,,
124326,W518XY,1,,
124326,HI2X6U,1,,
124326,HI2X6U,1,,
124326,HI2X6U,5,,
124325,ZX6MUV,1,,
124324,SMMRK3,2,,
124324,SMMRK3,1,,
124324,8N10W9,1,,
124324,KTDZY0,1,,
124323,56TC1Z,1,,
124323,UHYJ3A,1,,
124323,UHYJ3A,1,,
124323,AHR20O,1,,
124322,SMMRK3,1,,
124322,SMMRK3,1,,
124322,RAUDQ6,1,,
124322,RAUDQ6,1,,
124322,2T1DJM,1,,
124322,Q50W5L,1,,
124322,Q50W5L,1,,
124322,4SD17H,1,,
124322,TAHFOD,1,,
124321,5P2MVG,1,,
